COD_PROC_URG|CPCU_CENTRO_CODIGO|CPCU_ACTIVO
13.4|002083|0
13.41|002083|0
13.42|002083|0
13.43|002083|0
13.5|002083|0
13.51|002083|0
13.59|002083|0
13.6|002083|0
13.64|002083|0
13.65|002083|0
13.66|002083|0
13.69|002083|0
13.7|002083|0
13.70|002083|0
13.71|002083|0
13.72|002083|0
13.8|002083|0
13.9|002083|0
14|002083|0
14.0|002083|0
14.00|002083|0
14.01|002083|0
14.02|002083|0
14.1|002083|0
14.11|002083|0
14.19|002083|0
14.2|002083|0
14.21|002083|0
14.22|002083|0
14.23|002083|0
14.24|002083|0
14.25|002083|0
14.26|002083|0
14.27|002083|0
14.29|002083|0
14.3|002083|0
14.31|002083|0
14.32|002083|0
14.33|002083|0
14.34|002083|0
14.35|002083|0
14.39|002083|0
14.4|002083|0
14.41|002083|0
14.49|002083|0
14.5|002083|0
14.51|002083|0
14.52|002083|0
14.53|002083|0
14.54|002083|0
14.55|002083|0
14.59|002083|0
14.6|002083|0
14.7|002083|0
14.71|002083|0
14.72|002083|0
14.73|002083|0
14.74|002083|0
14.75|002083|0
14.79|002083|0
14.9|002083|0
15|002083|0
15.0|002083|0
15.01|002083|0
15.09|002083|0
15.1|002083|0
15.11|002083|0
15.12|002083|0
15.13|002083|0
15.19|002083|0
15.2|002083|0
15.21|002083|0
15.22|002083|0
15.29|002083|0
15.3|002083|0
15.4|002083|0
15.5|002083|0
15.6|002083|0
15.7|002083|0
15.9|002083|0
16|002083|0
16.0|002083|0
16.01|002083|0
16.02|002083|0
16.09|002083|0
16.1|002083|0
16.2|002083|0
16.21|002083|0
16.22|002083|0
16.23|002083|0
16.29|002083|0
16.3|002083|0
16.31|002083|0
16.39|002083|0
16.4|002083|0
16.41|002083|0
16.42|002083|0
16.49|002083|0
16.5|002083|0
16.51|002083|0
16.52|002083|0
16.59|002083|0
16.6|002083|0
16.61|002083|0
16.62|002083|0
16.63|002083|0
16.64|002083|0
16.65|002083|0
16.66|002083|0
16.69|002083|0
16.7|002083|0
16.71|002083|0
16.72|002083|0
16.8|002083|0
16.81|002083|0
16.82|002083|0
16.89|002083|0
16.9|002083|0
16.91|002083|0
16.92|002083|0
16.93|002083|0
16.98|002083|0
16.99|002083|0
18|002083|0
18.0|002083|0
18.01|002083|0
18.02|002083|0
18.09|002083|0
18.1|002083|0
18.11|002083|0
18.12|002083|0
18.19|002083|0
18.2|002083|0
18.21|002083|0
18.29|002083|0
18.3|002083|0
18.31|002083|0
18.39|002083|0
18.4|002083|0
18.5|002083|0
18.6|002083|0
18.7|002083|0
18.71|002083|0
18.72|002083|0
18.79|002083|0
18.9|002083|0
19|002083|0
19.0|002083|0
19.1|002083|0
19.11|002083|0
19.19|002083|0
19.2|002083|0
19.21|002083|0
19.29|002083|0
19.3|002083|0
19.4|002083|0
19.5|002083|0
19.52|002083|0
19.53|002083|0
19.54|002083|0
19.55|002083|0
19.6|002083|0
19.9|002083|0
20|002083|0
20.0|002083|0
20.01|002083|0
20.09|002083|0
20.1|002083|0
20.2|002083|0
20.21|002083|0
20.22|002083|0
20.23|002083|0
20.3|002083|0
20.31|002083|0
20.32|002083|0
20.39|002083|0
20.4|002083|0
20.41|002083|0
20.42|002083|0
20.49|002083|0
20.5|002083|0
20.51|002083|0
20.59|002083|0
20.6|002083|0
20.61|002083|0
20.62|002083|0
20.7|002083|0
20.71|002083|0
20.72|002083|0
20.79|002083|0
20.8|002083|0
20.9|002083|0
20.91|002083|0
20.92|002083|0
20.93|002083|0
20.94|002083|0
20.95|002083|0
20.96|002083|0
20.97|002083|0
20.98|002083|0
20.99|002083|0
21|002083|0
21.0|002083|0
21.00|002083|0
21.01|002083|0
21.02|002083|0
21.03|002083|0
21.04|002083|0
21.05|002083|0
21.06|002083|0
21.07|002083|0
21.09|002083|0
21.1|002083|0
21.2|002083|0
21.21|002083|0
21.22|002083|0
21.29|002083|0
21.3|002083|0
21.30|002083|0
21.31|002083|0
21.32|002083|0
21.4|002083|0
21.5|002083|0
21.6|002083|0
21.61|002083|0
21.62|002083|0
21.69|002083|0
21.7|002083|0
21.71|002083|0
21.72|002083|0
21.8|002083|0
21.81|002083|0
21.82|002083|0
21.83|002083|0
21.84|002083|0
21.85|002083|0
21.86|002083|0
21.87|002083|0
21.88|002083|0
21.89|002083|0
21.9|002083|0
21.91|002083|0
21.99|002083|0
22|002083|0
22.0|002083|0
22.00|002083|0
22.01|002083|0
22.02|002083|0
22.1|002083|0
22.11|002083|0
22.12|002083|0
22.19|002083|0
22.2|002083|0
22.3|002083|0
22.31|002083|0
22.39|002083|0
22.4|002083|0
22.41|002083|0
